file	best_BER	alpha	block_size	num_bits
251-136532-0016.flac	0.000	0.01	(32, 32)	4
251-136532-0017.flac	0.250	0.01	(32, 32)	4
251-136532-0018.flac	0.000	0.05	(8, 8)	4
251-136532-0019.flac	0.000	0.05	(16, 16)	4
251-136532-0020.flac	0.000	0.05	(32, 32)	4
251-136532-0021.flac	0.000	0.2	(16, 16)	4
251-136532-0022.flac	0.000	0.05	(32, 32)	4
251-136532-0023.flac	0.250	0.01	(8, 8)	4
2803-154320-0000.flac	0.000	0.2	(8, 8)	4
2803-154320-0001.flac	0.188	0.05	(8, 8)	16
2803-154320-0002.flac	0.250	0.01	(8, 8)	4
2803-154320-0003.flac	0.000	0.01	(8, 8)	4
2803-154320-0004.flac	0.000	0.01	(32, 32)	4
2803-154320-0005.flac	0.000	0.2	(8, 8)	4
2803-154320-0006.flac	0.000	0.01	(8, 8)	4
2803-154320-0007.flac	0.000	0.01	(16, 16)	4
2803-154320-0008.flac	0.125	0.2	(32, 32)	8
2803-154320-0009.flac	0.250	0.05	(8, 8)	4
2803-154320-0010.flac	0.000	0.1	(16, 16)	4
2803-154320-0011.flac	0.000	0.01	(8, 8)	4
2803-154320-0012.flac	0.125	0.01	(8, 8)	8
2803-154320-0013.flac	0.250	0.01	(8, 8)	4
2803-154320-0014.flac	0.000	0.2	(16, 16)	4
2803-161169-0000.flac	0.000	0.01	(32, 32)	4
2803-161169-0001.flac	0.250	0.01	(16, 16)	4
2803-161169-0002.flac	0.250	0.05	(32, 32)	4
2803-161169-0003.flac	0.000	0.05	(32, 32)	4
2803-161169-0004.flac	0.250	0.01	(8, 8)	16
2803-161169-0005.flac	0.125	0.2	(8, 8)	8
2803-161169-0006.flac	0.250	0.01	(8, 8)	4
2803-161169-0007.flac	0.000	0.2	(16, 16)	4
2803-161169-0008.flac	0.000	0.05	(16, 16)	4
2803-161169-0009.flac	0.000	0.1	(16, 16)	4
2803-161169-0010.flac	0.000	0.1	(16, 16)	4
2803-161169-0011.flac	0.000	0.05	(16, 16)	4
2803-161169-0012.flac	0.000	0.1	(16, 16)	4
2803-161169-0013.flac	0.125	0.05	(32, 32)	8
2803-161169-0014.flac	0.250	0.01	(8, 8)	4
2803-161169-0015.flac	0.250	0.01	(32, 32)	4
2803-161169-0016.flac	0.125	0.05	(32, 32)	8
2803-161169-0017.flac	0.000	0.2	(16, 16)	4
3000-15664-0000.flac	0.250	0.1	(32, 32)	4
3000-15664-0001.flac	0.000	0.05	(8, 8)	4
3000-15664-0002.flac	0.000	0.05	(8, 8)	4
3000-15664-0003.flac	0.000	0.2	(32, 32)	4
